,# Spat. orbs,# Spat. virt. orbs,E_MP2_corr,E_CCSD_corr
0,13.0,10.0,-0.02981909884362,-0.03891823529625849
1,23.0,20.0,-0.052085310243716,-0.06711479298992495
2,33.0,30.0,-0.063626584745869,-0.08001563604655529
3,43.0,40.0,-0.067796388236364,-0.08408436876740014
4,53.0,50.0,-0.070899194180372,-0.08676823833960921
5,63.0,60.0,-0.072277140259052,-0.08768551845198068
6,73.0,70.0,-0.073503915366206,-0.08856534295198093
7,83.0,80.0,-0.074434966058462,-0.08914110483982976
8,93.0,90.0,-0.075587128561146,-0.08982827746132245
9,103.0,100.0,-0.076455326614273,-0.09040167972347149
10,113.0,110.0,-0.077136781975716,-0.09077501415362131
11,123.0,120.0,-0.077696618211747,-0.09107078008615224
12,133.0,130.0,-0.078105298159327,-0.09127953935001103
13,143.0,140.0,-0.078445915119871,-0.09145565544956595
14,153.0,150.0,-0.078787660840305,-0.09163702662024062
15,163.0,160.0,-0.078995954848228,-0.09173893470951949
16,173.0,170.0,-0.079123176738941,-0.09179616669005204
17,183.0,180.0,-0.079288633613367,-0.09187187247766417
18,193.0,190.0,-0.079445110458356,-0.09194305962892467
19,203.0,200.0,-0.079597108388242,-0.09201081282410367
20,213.0,210.0,-0.079747871798384,-0.09207779974277049
21,223.0,220.0,-0.079876252329955,
22,233.0,230.0,-0.079978204212468,
23,243.0,240.0,-0.080083307027803,
24,253.0,250.0,-0.080177159764693,
25,263.0,260.0,-0.080263062155224,
26,273.0,270.0,-0.080331872188765,
27,283.0,280.0,-0.080400434831533,
28,293.0,290.0,-0.080483320756502,
29,303.0,300.0,-0.080551756345958,
30,313.0,310.0,-0.080619220502402,
31,323.0,320.0,-0.080691113413674,
32,333.0,330.0,-0.080752894600957,
33,343.0,340.0,-0.080799582121359,
34,353.0,350.0,-0.080838745496006,
35,363.0,360.0,-0.080874774586975,
36,373.0,370.0,-0.080915071942888,
37,383.0,380.0,-0.080952653006975,
38,393.0,390.0,-0.080980836937158,
39,403.0,400.0,-0.081008793981073,
40,413.0,410.0,-0.081030208861235,
41,423.0,420.0,-0.081058228435604,
42,433.0,430.0,-0.081084477658291,
43,443.0,440.0,-0.081107904076935,
44,453.0,450.0,-0.081136848096267,
45,463.0,460.0,-0.081163896170079,
46,473.0,470.0,-0.081187006570352,
47,483.0,480.0,-0.081211591771423,
48,493.0,490.0,-0.081234011655495,
49,503.0,500.0,-0.081257065999343,
50,513.0,510.0,-0.081277625099066,
51,523.0,520.0,-0.081296154978478,
52,533.0,530.0,-0.081315457064,
53,543.0,540.0,-0.081334579376667,
54,553.0,550.0,-0.081353488363469,
55,563.0,560.0,-0.081370424786996,
56,573.0,570.0,-0.08138571044901,
57,583.0,580.0,-0.081397984512142,
58,593.0,590.0,-0.081413813188594,
59,603.0,600.0,-0.081429596783187,
60,613.0,610.0,-0.081444882315905,
61,623.0,620.0,-0.081458140920562,
62,633.0,630.0,-0.081471516319166,
63,643.0,640.0,-0.081485918601191,
64,653.0,650.0,-0.081498020463357,
65,663.0,660.0,-0.081513112803242,
66,673.0,670.0,-0.081525265676207,
67,683.0,680.0,-0.081536618317735,
68,693.0,690.0,-0.081547182212535,
69,703.0,700.0,-0.081557198319325,
70,713.0,710.0,-0.081567104820031,
71,723.0,720.0,-0.08157541853501,
72,733.0,730.0,-0.081583887527439,
73,743.0,740.0,-0.081593096347215,
74,753.0,750.0,-0.081601203794007,
75,763.0,760.0,-0.081607193602761,
76,773.0,770.0,-0.081614973779827,
77,783.0,780.0,-0.08162395662398,
78,793.0,790.0,-0.081631497683008,
79,803.0,800.0,-0.081638793711827,
80,813.0,810.0,-0.081645887859677,
81,823.0,820.0,-0.081653532977742,
82,833.0,830.0,-0.081660530226698,
83,843.0,840.0,-0.081666755749614,
84,853.0,850.0,-0.081674290436617,
85,863.0,860.0,-0.081680357229937,
86,873.0,870.0,-0.081686001234318,
87,883.0,880.0,-0.081691968320497,
88,893.0,890.0,-0.081698048795963,
89,903.0,900.0,-0.081703901364908,
90,913.0,910.0,-0.081709269396327,
91,923.0,920.0,-0.081713381346501,
92,933.0,930.0,-0.081719033315149,
93,943.0,940.0,-0.081724470724626,
94,953.0,950.0,-0.081729802477,
95,963.0,960.0,-0.081735355422599,
96,973.0,970.0,-0.081740882142107,
97,983.0,980.0,-0.081746552291056,
98,993.0,990.0,-0.081752168172327,
99,1003.0,1000.0,-0.081757968941512,
