,# Spat. orbs,# Spat. virt. orbs,E_MP2_corr,E_CCSD_corr
0,13.0,10.0,-0.0107300218,-0.0168490919
1,23.0,20.0,-0.0141630194,-0.0197025873
2,33.0,30.0,-0.0173990453,-0.0227670916
3,43.0,40.0,-0.0208144044,-0.0263589819
4,53.0,50.0,-0.0210217317,-0.0264306711
5,63.0,60.0,-0.0241507816,-0.0298286026
6,73.0,70.0,-0.0243664547,-0.029954502
7,83.0,80.0,-0.0273487322,-0.0332735464
8,93.0,90.0,-0.0285150733,-0.0345451788
9,103.0,100.0,-0.0323495998,-0.0389069015
10,113.0,110.0,-0.033287755,-0.0399624071
11,123.0,120.0,-0.0333324435,-0.0399800997
12,133.0,130.0,-0.0355303999,-0.0424858584
13,143.0,140.0,-0.0356082506,-0.0425499033
14,153.0,150.0,-0.0379561668,-0.0452710243
15,163.0,160.0,-0.0380450092,-0.0453320412
16,173.0,170.0,-0.0392542197,-0.0467260061
17,183.0,180.0,-0.0421400623,-0.0500988447
18,193.0,190.0,-0.0426834942,-0.0506880234
19,203.0,200.0,-0.0427107354,-0.0507043777
20,213.0,210.0,-0.04572662,-0.0541865929
21,223.0,220.0,-0.0457681371,
22,233.0,230.0,-0.0457818692,
23,243.0,240.0,-0.045792865,
24,253.0,250.0,-0.047403626,
25,263.0,260.0,-0.0512461947,
26,273.0,270.0,-0.0513923779,
27,283.0,280.0,-0.0514127699,
28,293.0,290.0,-0.052116153,
29,303.0,300.0,-0.0521228536,
30,313.0,310.0,-0.0541541099,
31,323.0,320.0,-0.054209639,
32,333.0,330.0,-0.0542165846,
33,343.0,340.0,-0.0548856294,
34,353.0,350.0,-0.0556525512,
35,363.0,360.0,-0.0556633362,
36,373.0,370.0,-0.0569246794,
37,383.0,380.0,-0.0569531456,
38,393.0,390.0,-0.0585547124,
39,403.0,400.0,-0.0587364521,
40,413.0,410.0,-0.0587488922,
41,423.0,420.0,-0.0587556099,
42,433.0,430.0,-0.0587595232,
43,443.0,440.0,-0.0602132882,
44,453.0,450.0,-0.0602786212,
45,463.0,460.0,-0.0610006734,
46,473.0,470.0,-0.0617272123,
47,483.0,480.0,-0.0617386675,
48,493.0,490.0,-0.0636468699,
49,503.0,500.0,-0.0637067251,
50,513.0,510.0,-0.0640486912,
51,523.0,520.0,-0.0654241815,
52,533.0,530.0,-0.0655129934,
53,543.0,540.0,-0.0655263916,
54,553.0,550.0,-0.0655306099,
55,563.0,560.0,-0.0655367742,
56,573.0,570.0,-0.0655387043,
57,583.0,580.0,-0.0655405549,
58,593.0,590.0,-0.0669669309,
59,603.0,600.0,-0.0670607591,
60,613.0,610.0,-0.0670708137,
61,623.0,620.0,-0.0681494872,
62,633.0,630.0,-0.0683700853,
63,643.0,640.0,-0.0683906705,
64,653.0,650.0,-0.0684171204,
65,663.0,660.0,-0.0684230182,
66,673.0,670.0,-0.0684258424,
67,683.0,680.0,-0.0684271635,
68,693.0,690.0,-0.0690964319,
69,703.0,700.0,-0.069841352,
70,713.0,710.0,-0.069855532,
71,723.0,720.0,-0.0698609604,
72,733.0,730.0,-0.0698633138,
73,743.0,740.0,-0.0702427486,
74,753.0,750.0,-0.0709150997,
75,763.0,760.0,-0.0716145124,
76,773.0,770.0,-0.0716273889,
77,783.0,780.0,-0.0716343365,
78,793.0,790.0,-0.0716385291,
79,803.0,800.0,-0.0726363708,
80,813.0,810.0,-0.0728332398,
81,823.0,820.0,-0.0728625481,
82,833.0,830.0,-0.0728665396,
83,843.0,840.0,-0.0728682281,
84,853.0,850.0,-0.0734657544,
85,863.0,860.0,-0.0735471544,
86,873.0,870.0,-0.073552198,
87,883.0,880.0,-0.0735567292,
88,893.0,890.0,-0.0735579558,
89,903.0,900.0,-0.074190907,
90,913.0,910.0,-0.0742216164,
91,923.0,920.0,-0.0742263112,
92,933.0,930.0,-0.0746043906,
93,943.0,940.0,-0.0746118051,
94,953.0,950.0,-0.0753136632,
95,963.0,960.0,-0.0755035529,
96,973.0,970.0,-0.075515255,
97,983.0,980.0,-0.0755196282,
98,993.0,990.0,-0.0755209681,
99,1003.0,1000.0,-0.0755239345,
100,1013.0,1010.0,-0.0755260022,
101,1023.0,1020.0,-0.0760068941,
102,1033.0,1030.0,-0.0762016687,
103,1043.0,1040.0,-0.0770984209,
104,1053.0,1050.0,-0.0773000294,
105,1063.0,1060.0,-0.0773806224,
106,1073.0,1070.0,-0.0774069026,
107,1083.0,1080.0,-0.0774093973,
108,1093.0,1090.0,-0.0774111093,
109,1103.0,1100.0,-0.077411973,
110,1113.0,1110.0,-0.0774136064,
111,1123.0,1120.0,-0.0774145739,
112,1133.0,1130.0,-0.0774150817,
113,1143.0,1140.0,-0.0776537622,
114,1153.0,1150.0,-0.0779762285,
115,1163.0,1160.0,-0.0779819198,
116,1173.0,1170.0,-0.0779892669,
117,1183.0,1180.0,-0.0779904548,
118,1193.0,1190.0,-0.0781931605,
119,1203.0,1200.0,-0.0782508333,
