,a,method,basis,single_atom_en,bulk_en,bulk_corrected_en,coh_en,coh_corrected_en
0,3.9,HF,dzvp,-1.8875036735235808,-1.932354971587654,-1.932354971587654,-0.044851298064073175,-0.044851298064073175
1,3.95,HF,dzvp,-1.8874698008375133,-1.934128263368687,-1.934128263368687,-0.04665846253117367,-0.04665846253117367
2,4.0,HF,dzvp,-1.8874462506354768,-1.9353064698505664,-1.9353064698505664,-0.04786021921508965,-0.04786021921508965
3,4.05,HF,dzvp,-1.887420577949957,-1.9359533677344025,-1.9359533677344025,-0.04853278978444542,-0.04853278978444542
4,4.1,HF,dzvp,-1.887404034214093,-1.9361277906877246,-1.9361277906877246,-0.048723756473631585,-0.048723756473631585
5,4.15,HF,dzvp,-1.8873442251648405,-1.935884315941032,-1.935884315941032,-0.04854009077619148,-0.04854009077619148
6,4.2,HF,dzvp,-1.88732769867647,-1.9352778937406698,-1.9352778937406698,-0.04795019506419984,-0.04795019506419984
0,3.9,CCSD,dzvp,-1.9390222472989593,-2.0234141972722877,-2.0273749229142255,-0.08439194997332833,-0.08835267561526614
1,3.95,CCSD,dzvp,-1.9388631905771188,-2.0245529052490916,-2.0285136308910294,-0.08568971467197284,-0.08965044031391065
2,4.0,CCSD,dzvp,-1.938682086355561,-2.0251279059521674,-2.0290886315941052,-0.08644581959660647,-0.09040654523854427
3,4.05,CCSD,dzvp,-1.9385108315356825,-2.025205931245507,-2.029166656887445,-0.08669509970982459,-0.09065582535176239
4,4.1,CCSD,dzvp,-1.9383466923632462,-2.024843025014519,-2.028803750656457,-0.08649633265127288,-0.09045705829321068
5,4.15,CCSD,dzvp,-1.9381697613624211,-2.024085209689611,-2.0280459353315488,-0.08591544832718978,-0.08987617396912759
6,4.2,CCSD,dzvp,-1.937981272235594,-2.0229910884138205,-2.0269518140557583,-0.08500981617822645,-0.08897054182016426
0,3.9,CCSD+(T),dzvp,-1.940380614968719,-2.0304199208304152,-2.034380646472353,-0.09003930586169617,-0.09400003150363398
1,3.95,CCSD+(T),dzvp,-1.9402175973886466,-2.0316160659840503,-2.035576791625988,-0.09139846859540368,-0.09535919423734149
2,4.0,CCSD+(T),dzvp,-1.940034241104517,-2.0322494029412264,-2.036210128583164,-0.0922151618367093,-0.09617588747864711
3,4.05,CCSD+(T),dzvp,-1.9398590396631052,-2.0323864661300823,-2.03634719177202,-0.09252742646697709,-0.0964881521089149
4,4.1,CCSD+(T),dzvp,-1.939692185051416,-2.0320831326611213,-2.036043858303059,-0.09239094760970534,-0.09635167325164315
5,4.15,CCSD+(T),dzvp,-1.939512763827212,-2.0313852653427436,-2.0353459909846814,-0.0918725015155315,-0.09583322715746931
6,4.2,CCSD+(T),dzvp,-1.9393209205982593,-2.0303513195131537,-2.0343120451550916,-0.0910303989148944,-0.0949911245568322
0,3.9,CCSD-SAC,dzvp,-1.9390222472989593,-2.034987320382445,-2.0394514323107815,-0.09596507308348579,-0.10042918501182203
1,3.95,CCSD-SAC,dzvp,-1.9388631905771188,-2.036187652728367,-2.040657996564199,-0.09732446215124813,-0.10179480598708031
