,a,basis,direct extrap corr
0,3.9,dzvp,-0.05151857377537848
1,3.9,qzv3p_f,-0.05425279282675827
2,3.9,tzv2p_f,-0.05395954216883289
3,3.95,dzvp,-0.05139338973960554
4,3.95,qzv3p_f,-0.05422059535823007
5,3.95,tzv2p_f,-0.05393209291057436
6,4.0,dzvp,-0.05123583572008419
7,4.0,qzv3p_f,-0.05418839788970194
8,4.0,tzv2p_f,-0.053903566293132546
9,4.05,dzvp,-0.05109025358572559
10,4.05,qzv3p_f,-0.05415620042117387
11,4.05,tzv2p_f,-0.05387809622825991
12,4.1,dzvp,-0.05094265814915336
13,4.1,qzv3p_f,-0.054123753033340445
14,4.1,tzv2p_f,-0.053848927466418846
15,4.15,dzvp,-0.05082553619758063
16,4.15,qzv3p_f,-0.05409130564550705
17,4.15,tzv2p_f,-0.05381976798963839
18,4.2,dzvp,-0.05065357355912414
19,4.2,qzv3p_f,-0.054058858257673745
20,4.2,tzv2p_f,-0.05379208539933042
