,a,basis,direct extrap HF
0,3.9,dzvp,-1.8875036735235806
1,3.9,qzv3p_f,-1.8879403136713477
2,3.9,tzv2p_f,-1.8878281262719245
3,3.95,dzvp,-1.8874698008375135
4,3.95,qzv3p_f,-1.8879375201521158
5,3.95,tzv2p_f,-1.8878351977670507
6,4.0,dzvp,-1.8874462506354766
7,4.0,qzv3p_f,-1.8879347266328748
8,4.0,tzv2p_f,-1.887834901255977
9,4.05,dzvp,-1.8874205779499573
10,4.05,qzv3p_f,-1.8879319331136408
11,4.05,tzv2p_f,-1.8878279886069678
12,4.1,dzvp,-1.887404034214093
13,4.1,qzv3p_f,-1.8879291395943802
14,4.1,tzv2p_f,-1.8878211826810758
15,4.15,dzvp,-1.8873442251648405
16,4.15,qzv3p_f,-1.8879263460751345
17,4.15,tzv2p_f,-1.8878151772106342
18,4.2,dzvp,-1.88732769867647
19,4.2,qzv3p_f,-1.8879235525558913
20,4.2,tzv2p_f,-1.8878216681982143
