,a,method,basis,single_atom_en,bulk_en,bulk_corrected_en,coh_en,coh_corrected_en
0,3.35,HF,dzvp,-7.391332654782507,-7.409398486699673,-7.409398486699673,-0.018065831917166264,-0.018065831917166264
1,3.4,HF,dzvp,-7.391169892962949,-7.410170844886438,-7.410170844886438,-0.019000951923489495,-0.019000951923489495
2,3.45,HF,dzvp,-7.390982674443235,-7.410792273722016,-7.410792273722016,-0.019809599278781675,-0.019809599278781675
3,3.5,HF,dzvp,-7.39076801627359,-7.411256085473616,-7.411256085473616,-0.02048806920002555,-0.02048806920002555
4,3.55,HF,dzvp,-7.390522718134703,-7.411576325442267,-7.411576325442267,-0.021053607307564448,-0.021053607307564448
5,3.6,HF,dzvp,-7.390243386680314,-7.41176738025553,-7.41176738025553,-0.02152399357521606,-0.02152399357521606
6,3.65,HF,dzvp,-7.389926470117782,-7.411833627004948,-7.411833627004948,-0.021907156887166046,-0.021907156887166046
0,3.35,CCSD,dzvp,-7.391332654782507,-7.437822709192887,-7.438905422213903,-0.046490054410380566,-0.047572767431396615
1,3.4,CCSD,dzvp,-7.391169892962949,-7.438265353963811,-7.439348066984826,-0.04709546100086204,-0.04817817402187809
2,3.45,CCSD,dzvp,-7.390982674443235,-7.438565868229031,-7.439648581250047,-0.047583193785796674,-0.04866590680681272
3,3.5,CCSD,dzvp,-7.39076801627359,-7.438717298546286,-7.439800011567302,-0.0479492822726959,-0.04903199529371195
4,3.55,CCSD,dzvp,-7.390522718134703,-7.438733477332477,-7.4398161903534925,-0.04821075919777407,-0.049293472218790116
5,3.6,CCSD,dzvp,-7.390243386680314,-7.438628631189374,-7.43971134421039,-0.04838524450905979,-0.04946795753007584
6,3.65,CCSD,dzvp,-7.389926470117782,-7.438407031019395,-7.439489744040411,-0.04848056090161279,-0.04956327392262884
0,3.35,CCSD+(T),dzvp,-7.391332654782507,-7.440632336120666,-7.441715049141682,-0.04929968133815965,-0.0503823943591757
1,3.4,CCSD+(T),dzvp,-7.391169892962949,-7.4410700124597495,-7.442152725480765,-0.049900119496800954,-0.050982832517817
2,3.45,CCSD+(T),dzvp,-7.390982674443235,-7.441365907124213,-7.442448620145229,-0.05038323268097855,-0.0514659457019946
3,3.5,CCSD+(T),dzvp,-7.39076801627359,-7.441513019520236,-7.4425957325412515,-0.05074500324664566,-0.05182771626766171
4,3.55,CCSD+(T),dzvp,-7.390522718134703,-7.441525115556863,-7.442607828577879,-0.051002397422160506,-0.052085110443176555
5,3.6,CCSD+(T),dzvp,-7.390243386680314,-7.441416386859359,-7.442499099880375,-0.05117300017904469,-0.05225571320006074
6,3.65,CCSD+(T),dzvp,-7.389926470117782,-7.4411910677687905,-7.442273780789806,-0.05126459765100844,-0.052347310672024486
0,3.35,CCSD-SAC,dzvp,-7.391332654782507,-7.443258949795061,-7.444548735797115,-0.051926295012554746,-0.05321608101460854
1,3.4,CCSD-SAC,dzvp,-7.391169892962949,-7.443707427870406,-7.444999868858683,-0.05253753490745705,-0.05382997589573445
2,3.45,CCSD-SAC,dzvp,-7.390982674443235,-7.444013426530876,-7.44530850465662,-0.05303075208764163,-0.05432583021338555
3,3.5,CCSD-SAC,dzvp,-7.39076801627359,-7.444170023025846,-7.445467720569884,-0.053402006752255815,-0.054699704296293804
4,3.55,CCSD-SAC,dzvp,-7.390522718134703,-7.444191087618462,-7.44549138699552,-0.05366836948375919,-0.054968668860817145
5,3.6,CCSD-SAC,dzvp,-7.390243386680314,-7.444090892581552,-7.445393776343986,-0.05384750590123755,-0.055150389663671
6,3.65,CCSD-SAC,dzvp,-7.389926470117782,-7.443873763167982,-7.44517921400898,-0.053947293050200074,-0.05525274389119826
0,3.35,HF,tzv2p,-7.393083761908773,-7.412819860813606,-7.412819860813606,-0.019736098904832744,-0.019736098904832744
1,3.4,HF,tzv2p,-7.393057263557708,-7.413556747551189,-7.413556747551189,-0.020499483993480894,-0.020499483993480894
2,3.45,HF,tzv2p,-7.393024754292976,-7.414149208879218,-7.414149208879218,-0.021124454586241903,-0.021124454586241903
3,3.5,HF,tzv2p,-7.392985141203407,-7.414593127267079,-7.414593127267079,-0.02160798606367198,-0.02160798606367198
4,3.55,HF,tzv2p,-7.3929371725685185,-7.414905363258692,-7.414905363258692,-0.021968190690173195,-0.021968190690173195
5,3.6,HF,tzv2p,-7.392879428967559,-7.415103350184033,-7.415103350184033,-0.022223921216474096,-0.022223921216474096
6,3.65,HF,tzv2p,-7.392810318132415,-7.4151947196104695,-7.4151947196104695,-0.022384401478054095,-0.022384401478054095
0,3.35,CCSD,tzv2p,-7.393083761908773,-7.441457529918548,-7.442540242939564,-0.048373768009774665,-0.049456481030790714
1,3.4,CCSD,tzv2p,-7.393057263557708,-7.441864131714136,-7.442946844735152,-0.04880686815642843,-0.04988958117744448
2,3.45,CCSD,tzv2p,-7.393024754292976,-7.442135007213102,-7.443217720234117,-0.0491102529201255,-0.050192965941141546
3,3.5,CCSD,tzv2p,-7.392985141203407,-7.442265636751003,-7.443348349772019,-0.04928049554759628,-0.05036320856861233
4,3.55,CCSD,tzv2p,-7.3929371725685185,-7.442272519001903,-7.443355232022919,-0.04933534643338433,-0.05041805945440038
5,3.6,CCSD,tzv2p,-7.392879428967559,-7.442172766539812,-7.443255479560828,-0.04929333757225329,-0.05037605059326934
6,3.65,CCSD,tzv2p,-7.392810318132415,-7.441973731595098,-7.443056444616114,-0.049163413462682826,-0.050246126483698875
0,3.35,CCSD+(T),tzv2p,-7.393083761908773,-7.444267156846327,-7.445349869867343,-0.05118339493755375,-0.0522661079585698
1,3.4,CCSD+(T),tzv2p,-7.393057263557708,-7.444668790210075,-7.445751503231091,-0.051611526652367345,-0.052694239673383395
2,3.45,CCSD+(T),tzv2p,-7.393024754292976,-7.4449350461082835,-7.446017759129299,-0.051910291815307374,-0.052993004836323424
3,3.5,CCSD+(T),tzv2p,-7.392985141203407,-7.445061357724953,-7.4461440707459685,-0.05207621652154604,-0.053158929542562086
4,3.55,CCSD+(T),tzv2p,-7.3929371725685185,-7.445064157226289,-7.446146870247305,-0.05212698465777077,-0.05320969767878682
5,3.6,CCSD+(T),tzv2p,-7.392879428967559,-7.444960522209797,-7.446043235230813,-0.0520810932422382,-0.053163806263254246
6,3.65,CCSD+(T),tzv2p,-7.392810318132415,-7.444757768344494,-7.44584048136551,-0.05194745021207847,-0.05303016323309452
0,3.35,CCSD-SAC,tzv2p,-7.393083761908773,-7.4469345929966,-7.4482243789986535,-0.053850831087826734,-0.05514061708988053
1,3.4,CCSD-SAC,tzv2p,-7.393057263557708,-7.44734744079396,-7.4486398817822375,-0.05429017723625229,-0.05558261822452969
2,3.45,CCSD-SAC,tzv2p,-7.393024754292976,-7.447624187521002,-7.448919265646746,-0.05459943322802552,-0.05589451135376944
3,3.5,CCSD-SAC,tzv2p,-7.392985141203407,-7.447760316446126,-7.449058013990164,-0.05477517524271924,-0.05607287278675723
4,3.55,CCSD-SAC,tzv2p,-7.3929371725685185,-7.4477723325054,-7.449072631882458,-0.05483515993688126,-0.056135459313939214
5,3.6,CCSD-SAC,tzv2p,-7.392879428967559,-7.447677358572146,-7.44898024233458,-0.05479792960458685,-0.0561008133670203
6,3.65,CCSD-SAC,tzv2p,-7.392810318132415,-7.44748276181359,-7.448788212654588,-0.05467244368117452,-0.05597789452217271
0,3.35,HF,qzv3p,-7.393301721664726,-7.413061735814937,-7.413061735814937,-0.01976001415021056,-0.01976001415021056
1,3.4,HF,qzv3p,-7.39329817008965,-7.413798782616697,-7.413798782616697,-0.020500612527047046,-0.020500612527047046
2,3.45,HF,qzv3p,-7.393293722560504,-7.414391963671356,-7.414391963671356,-0.021098241110852456,-0.021098241110852456
3,3.5,HF,qzv3p,-7.393288139376272,-7.414837572377704,-7.414837572377704,-0.021549433001431417,-0.021549433001431417
4,3.55,HF,qzv3p,-7.39328112503219,-7.415153051592509,-7.415153051592509,-0.02187192656031911,-0.02187192656031911
5,3.6,HF,qzv3p,-7.393272319826237,-7.415356611671341,-7.415356611671341,-0.022084291845104076,-0.022084291845104076
6,3.65,HF,qzv3p,-7.393261291577749,-7.4154568751192045,-7.4154568751192045,-0.02219558354145512,-0.02219558354145512
0,3.35,CCSD,qzv3p,-7.393301721664726,-7.441802614522033,-7.442885327543049,-0.048500892857306965,-0.049583605878323014
1,3.4,CCSD,qzv3p,-7.39329817008965,-7.442208853599933,-7.443291566620949,-0.04891068351028327,-0.04999339653129932
2,3.45,CCSD,qzv3p,-7.393293722560504,-7.442480240325735,-7.443562953346751,-0.04918651776523131,-0.05026923078624736
3,3.5,CCSD,qzv3p,-7.393288139376272,-7.442612607604876,-7.443695320625892,-0.04932446822860381,-0.05040718124961986
4,3.55,CCSD,qzv3p,-7.39328112503219,-7.442622973967509,-7.443705686988525,-0.049341848935319454,-0.050424561956335504
5,3.6,CCSD,qzv3p,-7.393272319826237,-7.442529144634408,-7.443611857655424,-0.04925682480817084,-0.05033953782918689
6,3.65,CCSD,qzv3p,-7.393261291577749,-7.44233938087594,-7.443422093896956,-0.0490780892981908,-0.050160802319206846
0,3.35,CCSD+(T),qzv3p,-7.393301721664726,-7.444612241449812,-7.445694954470828,-0.05131051978508605,-0.0523932328061021
1,3.4,CCSD+(T),qzv3p,-7.39329817008965,-7.445013512095872,-7.446096225116888,-0.05171534200622219,-0.052798055027238236
2,3.45,CCSD+(T),qzv3p,-7.393293722560504,-7.445280279220917,-7.446362992241933,-0.051986556660413186,-0.053069269681429235
3,3.5,CCSD+(T),qzv3p,-7.393288139376272,-7.445408328578826,-7.446491041599842,-0.05212018920255357,-0.05320290222356962
4,3.55,CCSD+(T),qzv3p,-7.39328112503219,-7.445414612191896,-7.446497325212912,-0.052133487159705894,-0.05321620018072194
5,3.6,CCSD+(T),qzv3p,-7.393272319826237,-7.445316900304393,-7.446399613325409,-0.052044580478155744,-0.05312729349917179
6,3.65,CCSD+(T),qzv3p,-7.393261291577749,-7.445123417625336,-7.446206130646352,-0.05186212604758644,-0.05294483906860249
0,3.35,CCSD-SAC,qzv3p,-7.393301721664726,-7.447299416828833,-7.448589202830886,-0.053997695164106574,-0.05528748116616037
1,3.4,CCSD-SAC,qzv3p,-7.39329817008965,-7.447712053729061,-7.449004494717339,-0.054413883639411686,-0.05570632462768908
2,3.45,CCSD-SAC,qzv3p,-7.393293722560504,-7.447989520899211,-7.4492845990249545,-0.05469579833870686,-0.05599087646445078
3,3.5,CCSD-SAC,qzv3p,-7.393288139376272,-7.448127644908693,-7.449425342452731,-0.054839505532420674,-0.05613720307645866
4,3.55,CCSD-SAC,qzv3p,-7.39328112503219,-7.448143439865963,-7.449443739243021,-0.05486231483377324,-0.05616261421083119
5,3.6,CCSD-SAC,qzv3p,-7.393272319826237,-7.448054705528701,-7.449357589291135,-0.054782385702464076,-0.05608526946489753
6,3.65,CCSD-SAC,qzv3p,-7.393261291577749,-7.447869702033706,-7.449175152874703,-0.054608410455956324,-0.05591386129695451
0,3.35,HF,cbs,-7.393301721664726,-7.413061735814937,-7.413061735814937,-0.01976001415021056,-0.01976001415021056
1,3.4,HF,cbs,-7.39329817008965,-7.413798782616697,-7.413798782616697,-0.020500612527047046,-0.020500612527047046
2,3.45,HF,cbs,-7.393293722560504,-7.414391963671356,-7.414391963671356,-0.021098241110852456,-0.021098241110852456
3,3.5,HF,cbs,-7.393288139376272,-7.414837572377704,-7.414837572377704,-0.021549433001431417,-0.021549433001431417
4,3.55,HF,cbs,-7.39328112503219,-7.415153051592509,-7.415153051592509,-0.02187192656031911,-0.02187192656031911
