,a,method,basis,single_atom_en,bulk_en,bulk_corrected_en,coh_en,coh_corrected_en
0,3.35,HF,dzvp,-7.391332654782507,-7.409398486699673,-7.409398486699673,-0.018065831917166264,-0.018065831917166264
1,3.4,HF,dzvp,-7.391169892962949,-7.410170844886438,-7.410170844886438,-0.019000951923489495,-0.019000951923489495
2,3.45,HF,dzvp,-7.390982674443235,-7.410792273722016,-7.410792273722016,-0.019809599278781675,-0.019809599278781675
3,3.5,HF,dzvp,-7.39076801627359,-7.411256085473616,-7.411256085473616,-0.02048806920002555,-0.02048806920002555
4,3.55,HF,dzvp,-7.390522718134703,-7.411576325442267,-7.411576325442267,-0.021053607307564448,-0.021053607307564448
5,3.6,HF,dzvp,-7.390243386680314,-7.41176738025553,-7.41176738025553,-0.02152399357521606,-0.02152399357521606
6,3.65,HF,dzvp,-7.389926470117782,-7.411833627004948,-7.411833627004948,-0.021907156887166046,-0.021907156887166046
0,3.35,CCSD,dzvp,-7.423287218805664,-7.470360969895577,-7.4710858085153715,-0.047073751089913074,-0.04779858970970782
1,3.4,CCSD,dzvp,-7.423107718440973,-7.47072080566563,-7.471445644285425,-0.04761308722465696,-0.04833792584445171
2,3.45,CCSD,dzvp,-7.422903939978078,-7.470944394293753,-7.4716692329135475,-0.048040454315674275,-0.04876529293546902
3,3.5,CCSD,dzvp,-7.422672966298923,-7.471024346152347,-7.471749184772142,-0.04835137985342364,-0.049076218473218386
4,3.55,CCSD,dzvp,-7.422411658614937,-7.470974090060507,-7.4716989286803015,-0.04856243144556949,-0.049287270065364236
5,3.6,CCSD,dzvp,-7.422116677918163,-7.47080748286195,-7.471532321481745,-0.04869080494378686,-0.04941564356358161
6,3.65,CCSD,dzvp,-7.421784523855257,-7.470528456505452,-7.471253295125247,-0.048743932650195276,-0.049468771269990025
0,3.35,CCSD+(T),dzvp,-7.4233197722794255,-7.473399436222739,-7.474124274842534,-0.05007966394331387,-0.05080450256310862
1,3.4,CCSD+(T),dzvp,-7.423140273044031,-7.4737467301614275,-7.474471568781222,-0.05060645711739653,-0.05133129573719128
2,3.45,CCSD+(T),dzvp,-7.422936497565528,-7.473958561360346,-7.474683399980141,-0.051022063794817996,-0.051746902414612744
3,3.5,CCSD+(T),dzvp,-7.422705529053397,-7.474027467599179,-7.474752306218974,-0.05132193854578215,-0.0520467771655769
4,3.55,CCSD+(T),dzvp,-7.422444229024232,-7.473966788528937,-7.474691627148732,-0.05152255950470508,-0.05224739812449983
5,3.6,CCSD+(T),dzvp,-7.4221492587621745,-7.473790324945621,-7.474515163565416,-0.05164106618344633,-0.052365904803241076
6,3.65,CCSD+(T),dzvp,-7.421817118201151,-7.473501953262778,-7.474226791882573,-0.0516848350616268,-0.05240967368142155
0,3.35,CCSD-SAC,dzvp,-7.423287218805664,-7.482020276546376,-7.48288374330757,-0.0587330577407128,-0.059596524501906764
1,3.4,CCSD-SAC,dzvp,-7.423107718440973,-7.482449694064938,-7.483314938246845,-0.05934197562396459,-0.060207219805871647
2,3.45,CCSD-SAC,dzvp,-7.422903939978078,-7.482742729713079,-7.483609739366579,-0.05983878973500101,-0.06070579938850058
3,3.5,CCSD-SAC,dzvp,-7.422672966298923,-7.482891988606494,-7.483760751869218,-0.060219022307570924,-0.0610877855702948
4,3.55,CCSD-SAC,dzvp,-7.422411658614937,-7.482910903333694,-7.483781408432914,-0.06049924471875645,-0.06136974981797672
5,3.6,CCSD-SAC,dzvp,-7.422116677918163,-7.482813344906554,-7.483685580161681,-0.060696666988390824,-0.061568902243517826
6,3.65,CCSD-SAC,dzvp,-7.421784523855257,-7.482603270526712,-7.483477224351439,-0.06081874667145559,-0.06169270049618289
0,3.35,HF,tzv2p,-7.393083761908773,-7.412819860813606,-7.412819860813606,-0.019736098904832744,-0.019736098904832744
1,3.4,HF,tzv2p,-7.393057263557708,-7.413556747551189,-7.413556747551189,-0.020499483993480894,-0.020499483993480894
2,3.45,HF,tzv2p,-7.393024754292976,-7.414149208879218,-7.414149208879218,-0.021124454586241903,-0.021124454586241903
3,3.5,HF,tzv2p,-7.392985141203407,-7.414593127267079,-7.414593127267079,-0.02160798606367198,-0.02160798606367198
4,3.55,HF,tzv2p,-7.3929371725685185,-7.414905363258692,-7.414905363258692,-0.021968190690173195,-0.021968190690173195
5,3.6,HF,tzv2p,-7.392879428967559,-7.415103350184033,-7.415103350184033,-0.022223921216474096,-0.022223921216474096
6,3.65,HF,tzv2p,-7.392810318132415,-7.4151947196104695,-7.4151947196104695,-0.022384401478054095,-0.022384401478054095
0,3.35,CCSD,tzv2p,-7.431582842644517,-7.480891924551946,-7.481616763171741,-0.04930908190742844,-0.05003392052722319
1,3.4,CCSD,tzv2p,-7.431547616703233,-7.48118838364672,-7.481913222266515,-0.04964076694348751,-0.05036560556328226
2,3.45,CCSD,tzv2p,-7.431506512424685,-7.481355599749467,-7.482080438369262,-0.049849087324782104,-0.05057392594457685
3,3.5,CCSD,tzv2p,-7.431458458077655,-7.481388649059374,-7.482113487679169,-0.049930190981719136,-0.050655029601513885
4,3.55,CCSD,tzv2p,-7.431402236091784,-7.481303663976378,-7.482028502596173,-0.04990142788459462,-0.05062626650438937
5,3.6,CCSD,tzv2p,-7.431336470953132,-7.481117422588397,-7.481842261208192,-0.04978095163526497,-0.05050579025505972
6,3.65,CCSD,tzv2p,-7.431259621332514,-7.480836972014949,-7.4815618106347435,-0.04957735068243441,-0.050302189302229156
0,3.35,CCSD+(T),tzv2p,-7.431615396118279,-7.483930390879109,-7.4846552294989035,-0.052314994760829236,-0.053039833380623985
1,3.4,CCSD+(T),tzv2p,-7.43158017130629,-7.484214308142517,-7.484939146762312,-0.052634136836227086,-0.053358975456021834
2,3.45,CCSD+(T),tzv2p,-7.431539070012135,-7.4843697668160605,-7.485094605435855,-0.052830696803925825,-0.053555535423720574
3,3.5,CCSD+(T),tzv2p,-7.431491020832129,-7.484391770506207,-7.485116609126002,-0.05290074967407765,-0.0536255882938724
4,3.55,CCSD+(T),tzv2p,-7.431434806501079,-7.484296362444809,-7.485021201064604,-0.05286155594373021,-0.05358639456352496
5,3.6,CCSD+(T),tzv2p,-7.431369051797144,-7.484100264672068,-7.484825103291863,-0.05273121287492444,-0.05345605149471919
6,3.65,CCSD+(T),tzv2p,-7.4312922156784085,-7.483810468772274,-7.484535307392069,-0.05251825309386593,-0.05324309171366068
0,3.35,CCSD-SAC,tzv2p,-7.431582842644517,-7.493910965507473,-7.494774432268667,-0.062328122862955304,-0.06319158962414927
1,3.4,CCSD-SAC,tzv2p,-7.431547616703233,-7.494289034775459,-7.495154278957366,-0.06274141807222655,-0.06360666225413361
2,3.45,CCSD-SAC,tzv2p,-7.431506512424685,-7.494537571295489,-7.495404580948989,-0.06303105887080473,-0.0638980685243043
3,3.5,CCSD-SAC,tzv2p,-7.431458458077655,-7.494651631136604,-7.495520394399327,-0.06319317305894856,-0.06406193632167244
4,3.55,CCSD-SAC,tzv2p,-7.431402236091784,-7.494647333092852,-7.495517838192072,-0.06324509700106784,-0.06411560210028812
5,3.6,CCSD-SAC,tzv2p,-7.431336470953132,-7.494541448145615,-7.495413683400741,-0.0632049771924823,-0.0640772124476093
6,3.65,CCSD-SAC,tzv2p,-7.431259621332514,-7.494341023333709,-7.495214977158436,-0.0630814020011945,-0.0639553558259218
0,3.35,HF,qzv3p,-7.393301721664726,-7.413061735814937,-7.413061735814937,-0.01976001415021056,-0.01976001415021056
1,3.4,HF,qzv3p,-7.39329817008965,-7.413798782616697,-7.413798782616697,-0.020500612527047046,-0.020500612527047046
2,3.45,HF,qzv3p,-7.393293722560504,-7.414391963671356,-7.414391963671356,-0.021098241110852456,-0.021098241110852456
3,3.5,HF,qzv3p,-7.393288139376272,-7.414837572377704,-7.414837572377704,-0.021549433001431417,-0.021549433001431417
4,3.55,HF,qzv3p,-7.39328112503219,-7.415153051592509,-7.415153051592509,-0.02187192656031911,-0.02187192656031911
5,3.6,HF,qzv3p,-7.393272319826237,-7.415356611671341,-7.415356611671341,-0.022084291845104076,-0.022084291845104076
6,3.65,HF,qzv3p,-7.393261291577749,-7.4154568751192045,-7.4154568751192045,-0.02219558354145512,-0.02219558354145512
0,3.35,CCSD,qzv3p,-7.4343985012531215,-7.484036010372411,-7.484760848992206,-0.04963750911928955,-0.050362347739084296
1,3.4,CCSD,qzv3p,-7.434393974122773,-7.484330724459351,-7.485055563079146,-0.049936750336578406,-0.050661588956373155
2,3.45,CCSD,qzv3p,-7.434388641839641,-7.484494874103961,-7.485219712723756,-0.050106232264320205,-0.050831070884114954
3,3.5,CCSD,qzv3p,-7.43438227709812,-7.48452706879446,-7.485251907414255,-0.05014479169634001,-0.050869630316134756
4,3.55,CCSD,qzv3p,-7.434374596828152,-7.484442894625683,-7.485167733245478,-0.05006829779753108,-0.05079313641732583
5,3.6,CCSD,qzv3p,-7.43436525497546,-7.484259818042366,-7.484984656662161,-0.049894563066906095,-0.05061940168670084
6,3.65,CCSD,qzv3p,-7.434353835059285,-7.4839857907737715,-7.484710629393566,-0.049631955714486864,-0.05035679433428161
0,3.35,CCSD+(T),qzv3p,-7.4344310547268835,-7.487074476699574,-7.487799315319369,-0.05264342197269034,-0.05336826059248509
1,3.4,CCSD+(T),qzv3p,-7.43442652872583,-7.487356648955148,-7.488081487574943,-0.05293012022931798,-0.05365495884911273
2,3.45,CCSD+(T),qzv3p,-7.434421199427091,-7.487509041170555,-7.48823387979035,-0.053087841743463926,-0.053812680363258675
3,3.5,CCSD+(T),qzv3p,-7.434414839852594,-7.4875301902412925,-7.488255028861087,-0.05311535038869852,-0.05384018900849327
4,3.55,CCSD+(T),qzv3p,-7.434407167237447,-7.487435593094114,-7.488160431713909,-0.05302842585666667,-0.05375326447646142
5,3.6,CCSD+(T),qzv3p,-7.434397835819471,-7.487242660126037,-7.487967498745832,-0.05284482430656556,-0.05356966292636031
6,3.65,CCSD+(T),qzv3p,-7.434386429405179,-7.486959287531097,-7.487684126150892,-0.05257285812591839,-0.053297696745713136
0,3.35,CCSD-SAC,qzv3p,-7.4343985012531215,-7.4976101101794095,-7.4984735769406035,-0.06321160892628797,-0.06407507568748193
1,3.4,CCSD-SAC,qzv3p,-7.434393974122773,-7.497993182102813,-7.49885842628472,-0.06359920798004026,-0.06446445216194732
2,3.45,CCSD-SAC,qzv3p,-7.434388641839641,-7.498244973739577,-7.499111983393076,-0.06385633189993545,-0.06472334155343501
3,3.5,CCSD-SAC,qzv3p,-7.43438227709812,-7.4983646812143565,-7.49923344447708,-0.06398240411623668,-0.06485116737896056
4,3.55,CCSD-SAC,qzv3p,-7.434374596828152,-7.4983676596960755,-7.499238164795296,-0.06399306286792328,-0.06486356796714356
5,3.6,CCSD-SAC,qzv3p,-7.43436525497546,-7.498271351789794,-7.49914358704492,-0.06390609681433368,-0.06477833206946068
6,3.65,CCSD-SAC,qzv3p,-7.434353835059285,-7.49808369204803,-7.498957645872757,-0.06372985698874523,-0.06460381081347252
0,3.35,HF,cbs,-7.393301721664726,-7.413061735814937,-7.413061735814937,-0.01976001415021056,-0.01976001415021056
1,3.4,HF,cbs,-7.39329817008965,-7.413798782616697,-7.413798782616697,-0.020500612527047046,-0.020500612527047046
2,3.45,HF,cbs,-7.393293722560504,-7.414391963671356,-7.414391963671356,-0.021098241110852456,-0.021098241110852456
3,3.5,HF,cbs,-7.393288139376272,-7.414837572377704,-7.414837572377704,-0.021549433001431417,-0.021549433001431417
4,3.55,HF,cbs,-7.39328112503219,-7.415153051592509,-7.415153051592509,-0.02187192656031911,-0.02187192656031911
