,a,basis,direct extrap HF
0,3.35,dzvp,-7.391332654782507
1,3.35,qzv3p,-7.393301721664726
2,3.35,tzv2p,-7.393083761908773
3,3.4,dzvp,-7.391169892962949
4,3.4,qzv3p,-7.3932981700896505
5,3.4,tzv2p,-7.393057263557708
6,3.45,dzvp,-7.3909826744432365
7,3.45,qzv3p,-7.393293722560504
8,3.45,tzv2p,-7.393024754292976
9,3.5,dzvp,-7.39076801627359
10,3.5,qzv3p,-7.393288139376272
11,3.5,tzv2p,-7.3929851412034076
12,3.55,dzvp,-7.3905227181347035
13,3.55,qzv3p,-7.39328112503219
14,3.55,tzv2p,-7.3929371725685185
15,3.6,dzvp,-7.390243386680314
16,3.6,qzv3p,-7.393272319826237
17,3.6,tzv2p,-7.392879428967559
18,3.65,dzvp,-7.389926470117782
19,3.65,qzv3p,-7.393261291577749
20,3.65,tzv2p,-7.392810318132415
