,a,Nk_str,E_HF,KMP2 corr,E_CCSD_corr,kpts,basis,Nk,E_CCSD,t_corr,note
0,3.9,221.0,-3.9916892614825024,-0.1189344220924195,-0.1358876747049089,221,dzvp_prim,5,-4.1275769361874115,,
1,3.9,221.0,-3.997144557032221,-0.1530913242148278,-0.1657897476491001,221,tzv2p_f_prim,5,-4.162934304681321,,
2,3.9,221.0,-3.999499223376532,,-0.1700022266075982,221,qzv3p_f_prim,5,-4.16950144998413,-0.0140114471162553,
3,3.9,331.0,-3.935940996651052,-0.2017904587139672,-0.1875837559597531,331,tzv2p_f_prim,7,-4.123524752610805,,
4,3.9,331.0,-3.938417557861349,-0.2073839153190691,-0.1918082799785805,331,qzv3p_f_prim,7,-4.130225837839929,,
5,3.9,332.0,-3.914846185611112,-0.2065990636977263,-0.1717969301517841,332,dzvp_prim,8,-4.086643115762897,,
6,3.9,332.0,-3.9199770440054897,,-0.2014120342347156,332,tzv2p_f_prim,8,-4.121389078240205,,
7,3.9,442.0,-3.824078601475477,,,442,dzvp_prim,10,,,
8,3.9,,-3.89160334269043,,-0.182118451369267,552,dzvp_prim,12,-4.073721794059697,,CCSD corr not converged
9,3.9,663.0,-3.8768838063086113,,,663,dzvp_prim,15,,,
10,3.9,884.0,-3.7975286677418127,,,884,dzvp_prim,20,,,
11,3.9,10105.0,-3.867294133314211,,,10105,dzvp_prim,2,,,
12,3.95,221.0,-3.995065444194463,-0.1179805591380619,-0.1349254157576814,221,dzvp_prim,5,-4.129990859952144,,
13,3.95,221.0,-4.00021021361817,-0.1522921499062618,-0.1648808588692246,221,tzv2p_f_prim,5,-4.165091072487395,,
14,3.95,221.0,-4.002369432833548,,-0.1690948285885884,221,qzv3p_f_prim,5,-4.171464261422137,-0.0141263214699176,
15,3.95,331.0,-3.938536952477644,-0.2009824866182011,-0.1866035707169995,331,tzv2p_f_prim,7,-4.125140523194643,,
16,3.95,331.0,-3.940817921313263,-0.2065767371614251,-0.1908213076048249,331,qzv3p_f_prim,7,-4.131639228918088,,
17,3.95,332.0,-3.918136393100648,-0.2054591714918923,-0.170592941831776,332,dzvp_prim,8,-4.088729334932424,,
18,3.95,332.0,-3.9230296901989536,,-0.2002360410231791,332,tzv2p_f_prim,8,-4.123265731222133,,
19,3.95,442.0,-3.863558635017979,,,442,dzvp_prim,10,,,
20,3.95,,-3.89498416399936,,-0.180849283760809,552,dzvp_prim,12,-4.075833447760169,,CCSD corr not converged
21,3.95,663.0,-3.880419386756884,,,663,dzvp_prim,15,,,
22,3.95,884.0,-3.801944145199654,,,884,dzvp_prim,20,,,
23,3.95,10105.0,-3.870803669486196,,,10105,dzvp_prim,2,,,
24,4.0,221.0,-3.9973057776069223,-0.1170619979269274,-0.1340089253344269,221,dzvp_prim,5,-4.131314702941349,,
25,4.0,221.0,-4.002167723415978,-0.1515246600279011,-0.1640092734135653,221,tzv2p_f_prim,5,-4.1661769968295435,,
26,4.0,221.0,-4.004153016127987,,-0.1682142481348447,221,qzv3p_f_prim,5,-4.1723672642628316,-0.0142429939781176,
27,4.0,331.0,-3.9400344572513104,-0.2002338479989075,-0.1856815935395427,331,tzv2p_f_prim,7,-4.125716050790853,,
28,4.0,331.0,-3.9421388627150784,-0.2058147979855478,-0.1898799532179174,331,qzv3p_f_prim,7,-4.132018815932996,,
29,4.0,332.0,-3.92031168398086,-0.2043876511314039,-0.169451376451687,332,dzvp_prim,8,-4.089763060432547,,
30,4.0,332.0,-3.9250018318942734,,-0.1991010346821555,332,tzv2p_f_prim,8,-4.124102866576429,,
31,4.0,442.0,-3.8659958601851914,,,442,dzvp_prim,10,,,
32,4.0,,-3.89722382844915,,-0.179642872203202,552,dzvp_prim,12,-4.076866700652352,,CCSD corr not converged
33,4.0,663.0,-3.88279514201966,,,663,dzvp_prim,15,,,
34,4.0,884.0,-3.805177459507752,,,884,dzvp_prim,20,,,
