,a,E_HF,E_CCSD_corr,Nk,kpts,basis,E_CCSD,KMP2 corr,t_corr,Nk_str,note
0,3.35,-14.8578309214399,-0.1100176792935518,6,222,dzvp,-14.967848600733452,,,,
1,3.35,-14.865392472080922,-0.1299079479079174,6,222,qzv3p,-14.995300419988839,-0.1167347676790594,-0.006076932654326,,
2,3.35,-14.8353463052177,-0.1183968813256578,9,333,dzvp,-14.953743186543358,,,,
3,3.35,-14.84220983843781,-0.1326160424105302,9,333,tzv2p,-14.974825880848341,-0.1342220862952182,,333.0,
4,3.35,-14.8426962239607,-0.138420464048799,9,333,qzv3p,-14.9811166880095,,,,CCSD corr not converged
5,3.35,-14.8276930012602,-0.1213164596275122,12,444,dzvp,-14.949009460887712,,,,est. from not fully conv. frozen thresh 2e-3
6,3.35,-14.82455071775754,,15,555,dzvp,,,,555.0,
7,3.35,-14.822791690502042,,18,666,dzvp,,,,666.0,
8,3.35,-14.829634438729908,,18,666,tzv2p,,,,666.0,
9,3.35,-14.83011818873257,,18,666,qzv3p,,,,666.0,
10,3.35,-14.820654586955005,,21,777,dzvp,,,,,
11,3.35,-14.820202467421588,,24,888,dzvp,,,,888.0,
12,3.4,-14.8587343995519,-0.1093993679113214,6,222,dzvp,-14.96813376746322,,,,
13,3.4,-14.866208847271958,-0.1292378966824619,6,222,qzv3p,-14.99544674395442,-0.1160899967211204,-0.0060518489915946,,
14,3.4,-14.8366363660584,-0.1176330908481438,9,333,dzvp,-14.954269456906545,,,,
15,3.4,-14.84342653675346,-0.1317964414808214,9,333,tzv2p,-14.975222978234282,-0.1332422499401195,,333.0,
16,3.4,-14.8439129618384,-0.137597052975069,9,333,qzv3p,-14.98151001481347,,,,CCSD corr not converged
17,3.4,-14.8291209371389,-0.1205249897796073,12,444,dzvp,-14.949645926918507,,,,est. from not fully conv. frozen thresh 2e-3
18,3.4,-14.826004492941646,,15,555,dzvp,,,,555.0,
19,3.4,-14.824256678049094,,18,666,dzvp,,,,666.0,
