,a,nshells,box_length,E_HF,E_CCSD_corr,basis,t_corr,E_MP2_corr,frozen E_MP2_corr,frozen E_CCSD_corr,note
4,3.35,1,20,-7.3885711247418655,-0.0319207071301651,dzvp,,,,,
5,3.35,1,40,-7.384945607659445,-0.0319538692318397,dzvp,,,,,
6,3.35,1,80,-7.3844930466037715,-0.0319580439384344,dzvp,,,,,
7,3.35,1,160,-7.3844364224916195,-0.0319585671773761,dzvp,,,,,
0,3.35,2,20,-7.393712144380977,-0.0319109162345058,dzvp,,,,,
1,3.35,2,40,-7.389499566753246,-0.0319491586448406,dzvp,,,,,
2,3.35,2,80,-7.389005279995067,-0.0319538890373044,dzvp,,,,,
3,3.35,2,160,-7.388943614615755,-0.0319544796499256,dzvp,,,,,
180,3.35,4,20,-7.397181100663669,,dzvp,,,,,
181,3.35,4,40,-7.391783757622722,,dzvp,,,,,
182,3.35,4,80,-7.39125204117007,,dzvp,,,,,
183,3.35,6,20,-7.397368961665585,,dzvp,,,,,
184,3.35,6,40,-7.39194361904172,,dzvp,,,,,
185,3.35,6,80,-7.391409025314913,,dzvp,,,,,
17,3.35,1,20,-7.3956943819718735,-0.0410595740874677,qzv3p,,,,,
16,3.35,1,40,-7.391727732965929,-0.0411328104342604,qzv3p,-3.255347376171574e-05,,,,
19,3.35,1,80,-7.391241899455499,-0.0411418269420341,qzv3p,,,,,
20,3.35,1,160,-7.391181175842612,-0.0411429565174854,qzv3p,,,,,
22,3.35,2,80,-7.392814655974927,-0.04109535340819461,qzv3p,,-0.0367042130596657,-0.0367041849567644,-0.0410953253052933,CCSD corr estimated from frozen
23,3.35,2,160,-7.392750532133176,-0.04109660131587001,qzv3p,,-0.0367053322313563,-0.0367053042346174,-0.0410965733191311,CCSD corr estimated from frozen
193,3.35,4,30,-7.394737146541053,,qzv3p,,,,,
194,3.35,4,40,-7.393894148976961,,qzv3p,,,,,
195,3.35,4,80,-7.3933603519139455,,qzv3p,,,,,
196,3.35,6,30,-7.394757634843287,,qzv3p,,,,,
197,3.35,6,40,-7.393912716293408,,qzv3p,,,,,
198,3.35,6,80,-7.393378095993315,,qzv3p,,,,,
12,3.35,1,20,-7.393502051872094,-0.0384571787682905,tzv2p,,,,,
13,3.35,1,40,-7.389719917500335,-0.038519604601249,tzv2p,,,,,
14,3.35,1,80,-7.389250650414832,-0.0385273977207499,tzv2p,,,,,
15,3.35,1,160,-7.389191965501169,-0.0385283742382088,tzv2p,,,,,
9,3.35,2,20,-7.396863481408186,-0.0384126868228324,tzv2p,,,,,
10,3.35,2,40,-7.392471407087567,-0.0384891220116177,tzv2p,,,,,
11,3.35,2,80,-7.3919670584343296,-0.038497837915781,tzv2p,,,,,
8,3.35,2,160,-7.3919041514786095,-0.0384989253832488,tzv2p,,,,,
189,3.35,4,30,-7.3944760908861245,,tzv2p,,,,,
190,3.35,4,40,-7.393636782874912,,tzv2p,,,,,
186,3.35,4,80,-7.393104389718777,,tzv2p,,,,,
187,3.35,6,30,-7.394537740917658,,tzv2p,,,,,
188,3.35,6,40,-7.393694203414496,,tzv2p,,,,,
192,3.35,6,80,-7.393160067096989,,tzv2p,,,,,
24,3.4,1,20,-7.388245147702693,-0.031907293926513,dzvp,,,,,
25,3.4,1,40,-7.384625056641854,-0.0319401786236951,dzvp,,,,,
26,3.4,1,80,-7.384173047415322,-0.0319443195670308,dzvp,,,,,
27,3.4,1,160,-7.384116489385107,-0.0319448385854255,dzvp,,,,,
28,3.4,2,10,-7.471740424641442,-0.0319311364683924,dzvp,,,,,
29,3.4,2,20,-7.393538985278642,-0.0318948239766766,dzvp,,,,,
30,3.4,2,40,-7.389324146847586,-0.0319324688198169,dzvp,,,,,
